profiles_name,cell_type,cell_ontology_id,cell_ontology_term,parent_cell_ontology_id,parent_cell_ontology_term
Pancreas_WTx,Acinar,CL:0002064,pancreatic acinar cell,CL:1001599,pancreas exocrine glandular cell
Pancreas_WTx,Acinar A,NA,NA,CL:0002064,pancreatic acinar cell
Pancreas_WTx,Acinar B,NA,NA,CL:0002064,pancreatic acinar cell
Pancreas_WTx,Active stellate,NA,NA,CL:0002410,pancreatic stellate cell
Pancreas_WTx,Alpha cells,CL:0000171,pancreatic A cell,CL:0008024,pancreatic endocrine cell
Pancreas_WTx,Beta cells,CL:0000169,type B pancreatic cell,CL:0008024,pancreatic endocrine cell
Pancreas_WTx,Delta cells,CL:0000173,pancreatic D cell,CL:0008024,pancreatic endocrine cell
Pancreas_WTx,Ductal,CL:0002079,pancreatic ductal cell,CL:1001433,epithelial cell of exocrine pancreas
Pancreas_WTx,Endocrine,CL:0008024,pancreatic endocrine cell,CL:0000164,enteroendocrine cell
Pancreas_WTx,Epsilon cells,CL:0005019,pancreatic epsilon cell,CL:0008024,pancreatic endocrine cell
Pancreas_WTx,Exocrine,CL:1001599,pancreas exocrine glandular cell,NA,NA
Pancreas_WTx,Gamma cells,CL:0002275,pancreatic PP cell,CL:0008024,pancreatic endocrine cell
Pancreas_WTx,Immune,CL:0000738,leukocyte,NA,NA
Pancreas_WTx,Macrophage,CL:0000235,macrophage,CL:0000766,myeloid leukocyte
Pancreas_WTx,Pancreas,NA,NA,NA,NA
Pancreas_WTx,Quiescent stellate,NA,NA,CL:0002410,pancreatic stellate cell
Pancreas_WTx,Stellate,CL:0002410,pancreatic stellate cell,CL:0000057,fibroblast
